B X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X 
