F F F F F F F F F F F F F F F F F F F F 
F F F F F F F F F F F F F F F F F F F F 
F F F F F B B B B F B B B B B B B F F F 
F F F F B B B F B B B B B B F B B F F F 
F F F B B B B B B B B B B B B B F B B F 
F F B B B B B B B X B B B B X B B B B F 
F F B B B B B X B X B B B B B B B B B B 
F F B B B X X B B B X X X X X B B B B F 
B F B B B X X B B B X X X B X B B B B B 
B B B B X X X X X B B X X X B B X B B F 
B B B B B X B X X X X X X X X B B B B B 
B B X B B X X X X X X X X X X B B B F F 
B B X X B B X B X X X X X B B B X B F F 
B B X X B B X X X X X X X X B B B B B F 
B X X B B B X X X X X X B B X B X X B F 
B B B B X B X X X B X X B X X B B B B B 
B F B X B B B B B X X X X X B B B B B B 
F F B B B X X B B B B B B B B X B B B F 
F F B B X B B B B B X B X B B B X B B F 
F F B B B B B B B B B B B X B B B B B F 
